,Video ID,Likes,Sentiment
0,wAZZ-UWGVHI,95,1
1,wAZZ-UWGVHI,19,0
2,wAZZ-UWGVHI,161,2
3,wAZZ-UWGVHI,8,0
4,wAZZ-UWGVHI,34,2
5,wAZZ-UWGVHI,8,1
6,wAZZ-UWGVHI,29,2
7,wAZZ-UWGVHI,7,1
8,wAZZ-UWGVHI,2,2
9,wAZZ-UWGVHI,28,1
10,b3x28s61q3c,1344,2
11,b3x28s61q3c,198,2
12,b3x28s61q3c,365,2
13,b3x28s61q3c,211,2
14,b3x28s61q3c,821,0
15,b3x28s61q3c,150,2
16,b3x28s61q3c,49,2
17,b3x28s61q3c,19,2
18,b3x28s61q3c,17,2
19,b3x28s61q3c,2808,2
20,4mgePWWCAmA,456,2
21,4mgePWWCAmA,962,2
22,4mgePWWCAmA,518,2
23,4mgePWWCAmA,194,2
24,4mgePWWCAmA,304,1
25,4mgePWWCAmA,3371,2
26,4mgePWWCAmA,36,2
27,4mgePWWCAmA,134,2
28,4mgePWWCAmA,274,2
29,4mgePWWCAmA,13,2
30,kXiYSI7H2b0,182,2
31,kXiYSI7H2b0,63,2
32,kXiYSI7H2b0,3660,1
33,kXiYSI7H2b0,534,2
34,kXiYSI7H2b0,46,2
35,kXiYSI7H2b0,380,1
36,kXiYSI7H2b0,21,2
37,kXiYSI7H2b0,49,2
38,kXiYSI7H2b0,278,1
39,kXiYSI7H2b0,75,1
40,ErMwWXQxHp0,23964,1
41,ErMwWXQxHp0,415,1
42,ErMwWXQxHp0,35,2
43,ErMwWXQxHp0,233,2
44,ErMwWXQxHp0,104,1
45,ErMwWXQxHp0,2106,1
46,ErMwWXQxHp0,135,2
47,ErMwWXQxHp0,17,2
48,ErMwWXQxHp0,82,2
49,ErMwWXQxHp0,126,2
50,18fwz9Itbvo,5092,1
51,18fwz9Itbvo,765,2
52,18fwz9Itbvo,693,1
53,18fwz9Itbvo,263,0
54,18fwz9Itbvo,8073,1
55,18fwz9Itbvo,533,0
56,18fwz9Itbvo,127,2
57,18fwz9Itbvo,150,2
58,18fwz9Itbvo,75,2
59,18fwz9Itbvo,1584,2
60,jXf04bhcjbg,10826,0
61,jXf04bhcjbg,787,2
62,jXf04bhcjbg,395,2
63,jXf04bhcjbg,674,2
64,jXf04bhcjbg,196,1
65,jXf04bhcjbg,6138,0
66,jXf04bhcjbg,75,2
67,jXf04bhcjbg,38,1
68,jXf04bhcjbg,19,0
69,jXf04bhcjbg,67,1
70,2TqOmtTAMRY,2460,2
71,2TqOmtTAMRY,6495,2
72,2TqOmtTAMRY,84,2
73,2TqOmtTAMRY,14,2
74,2TqOmtTAMRY,13,2
75,2TqOmtTAMRY,7,2
76,2TqOmtTAMRY,2389,0
77,2TqOmtTAMRY,11,2
78,2TqOmtTAMRY,5,2
79,2TqOmtTAMRY,2,2
80,wLlL46pYcg4,600,1
81,wLlL46pYcg4,103,1
82,wLlL46pYcg4,337,0
83,wLlL46pYcg4,0,1
84,wLlL46pYcg4,45,1
85,wLlL46pYcg4,6,1
86,wLlL46pYcg4,51,2
87,wLlL46pYcg4,12,2
88,wLlL46pYcg4,47,0
89,wLlL46pYcg4,4,2
90,R7qsau3X6Ks,4026,1
91,R7qsau3X6Ks,1038,0
92,R7qsau3X6Ks,1812,2
93,R7qsau3X6Ks,2369,2
94,R7qsau3X6Ks,892,2
95,R7qsau3X6Ks,601,2
96,R7qsau3X6Ks,885,0
97,R7qsau3X6Ks,309,0
98,R7qsau3X6Ks,120,2
99,R7qsau3X6Ks,281,0
100,MEiq0oCUb_8,3480,1
101,MEiq0oCUb_8,403,2
102,MEiq0oCUb_8,243,2
103,MEiq0oCUb_8,72,2
104,MEiq0oCUb_8,160,2
105,MEiq0oCUb_8,8968,0
106,MEiq0oCUb_8,74,2
107,MEiq0oCUb_8,2,2
108,MEiq0oCUb_8,1,2
109,MEiq0oCUb_8,19,2
110,pT_9hntWj34,317,2
111,pT_9hntWj34,118,2
112,pT_9hntWj34,7,2
113,pT_9hntWj34,5,2
114,pT_9hntWj34,10,2
115,pT_9hntWj34,2,2
116,pT_9hntWj34,2,2
117,pT_9hntWj34,4,2
118,pT_9hntWj34,2,2
119,pT_9hntWj34,86,2
120,cj4lxmHQV0o,1753,0
121,cj4lxmHQV0o,46,2
122,cj4lxmHQV0o,13,2
123,cj4lxmHQV0o,5,2
124,cj4lxmHQV0o,10,2
125,cj4lxmHQV0o,206,2
126,cj4lxmHQV0o,63,1
127,cj4lxmHQV0o,2,2
128,cj4lxmHQV0o,40,0
129,cj4lxmHQV0o,11,2
130,d-BdIo8_wpA,14,2
131,d-BdIo8_wpA,42,2
132,d-BdIo8_wpA,17,2
133,d-BdIo8_wpA,5,2
134,d-BdIo8_wpA,424,0
135,d-BdIo8_wpA,57,2
136,d-BdIo8_wpA,6,2
137,d-BdIo8_wpA,15,2
138,d-BdIo8_wpA,3,2
139,d-BdIo8_wpA,2,2
140,eFhhW6fsAbQ,210,2
141,eFhhW6fsAbQ,320,2
142,eFhhW6fsAbQ,88,2
143,eFhhW6fsAbQ,29,2
144,eFhhW6fsAbQ,37,2
145,eFhhW6fsAbQ,21,2
146,eFhhW6fsAbQ,17,2
147,eFhhW6fsAbQ,16,2
148,eFhhW6fsAbQ,7,2
149,eFhhW6fsAbQ,8,0
150,N88OE2ZCHBM,1419,0
151,N88OE2ZCHBM,960,0
152,N88OE2ZCHBM,2066,0
153,N88OE2ZCHBM,142,2
154,N88OE2ZCHBM,411,2
155,N88OE2ZCHBM,352,2
156,N88OE2ZCHBM,253,2
157,N88OE2ZCHBM,48,2
158,N88OE2ZCHBM,1041,2
159,N88OE2ZCHBM,66,0
160,PKATJiyz0iI,18,1
161,PKATJiyz0iI,5,2
